[2024-04-11 12:23:54.392] [info] Using configuration file /home/dom/.config/waybar/config
[2024-04-11 12:23:55.100] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.UnknownMethod: No such interface “org.freedesktop.portal.Settings” on object at path /org/freedesktop/portal/desktop
[2024-04-11 12:23:55.101] [info] Using CSS file /home/dom/.config/waybar/style.css
[2024-04-11 12:23:55.200] [warning] module hyperland/workspaces: Unknown module: hyperland/workspaces
[2024-04-11 12:23:55.200] [warning] module hyperland/mode: Unknown module: hyperland/mode
[2024-04-11 12:23:55.201] [warning] module hyperland/scratchpad: Unknown module: hyperland/scratchpad
[2024-04-11 12:23:55.201] [warning] module hyperland/window: Unknown module: hyperland/window
[2024-04-11 12:23:55.654] [warning] module temperature: Disabling module "temperature", Can't open /sys/class/thermal/thermal_zone0/temp
[2024-04-11 12:29:10.732] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:12.745] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:14.766] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:16.770] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:18.797] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:20.806] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:22.810] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:24.814] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:26.822] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:28.833] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:30.847] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:32.858] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:34.863] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:36.875] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:38.897] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:40.926] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:42.992] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:45.008] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:47.018] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:49.035] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:51.043] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:53.055] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:55.065] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:57.069] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:29:59.083] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:01.089] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:03.096] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:05.103] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:07.111] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:09.118] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:11.132] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:13.140] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:15.146] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:17.152] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:19.162] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:21.167] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:23.184] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:25.201] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:27.205] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:29.262] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:31.349] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:33.386] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:35.432] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:37.472] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:39.489] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:41.524] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:43.546] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:45.597] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:47.613] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:49.636] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:51.646] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:53.696] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:55.740] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:57.790] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:30:59.797] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:01.836] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:03.850] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:05.866] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:07.878] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:09.906] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:12.036] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:14.053] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:16.114] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:18.120] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:20.135] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:22.175] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:24.192] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:26.200] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:28.227] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:30.279] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:32.284] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:34.288] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:36.322] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:38.340] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:40.372] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:42.413] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:44.456] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:46.472] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:48.487] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:50.510] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:52.524] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:54.542] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:56.545] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:31:58.552] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:00.560] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:02.597] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:04.632] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:06.669] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:08.713] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:10.725] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:12.751] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:14.779] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:16.830] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:18.834] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:20.846] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:22.877] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:24.884] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:26.924] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:28.935] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:30.952] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:32.958] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:34.972] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:36.980] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:38.983] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:41.074] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:43.085] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:45.109] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:47.118] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:49.124] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:51.127] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:53.212] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:55.217] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:57.245] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:32:59.249] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:01.255] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:03.275] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:05.325] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:07.366] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:09.384] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:11.404] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:13.416] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:15.421] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:17.471] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:19.507] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:21.536] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:23.542] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:25.568] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:27.582] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:29.615] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:31.640] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:33.662] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:35.681] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:37.701] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:39.723] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:41.749] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:43.782] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:45.793] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:47.813] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:49.927] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:51.973] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:53.989] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:56.005] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:33:58.014] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:34:00.017] [error] mpd: Failed to connect to MPD: Connection refused
[2024-04-11 12:34:02.049] [error] mpd: Failed to connect to MPD: Connection refused
